2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23064#26967811: *33 attempt to send data on a closed socket: u:000000010070E2F0, c:0000000150008A50, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23061#26967808: *37 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
2023/01/23 17:08:09 [error] 23057#26967803: *42 attempt to send data on a closed socket: u:00000001005FBF18, c:00000001500081E0, ft:0 eof:0, client: 127.0.0.1, server: 0.0.0.0:4343
